吉利E281高压,,,,,金额单位：元,,,,,,,
包装物流成本明细,,,,,,,,,,,,
客户零件号,SAP号,物料描述,用量,内包装,外包装,运费,超额运费,短驳（合肥仓库到客户）+其他,三方仓费用,仓储费,合计,备注
6608491523,,直流母线总成,0.525,1.94245,0.35,,,0.333333333333333,1.5,0.35,4.47578333333333,
6608491524,,直流母线总成,0.105,1.94245,0.35,,,0.333333333333333,1.5,0.35,4.47578333333333,
6608442962,,直流母线总成,0.07,1.94245,0.35,,,0.333333333333333,1.5,0.35,4.47578333333333,
6608544875,,前驱直流母线总成,0.105,1.94245,0.35,,,0.333333333333333,1.5,0.35,4.47578333333333,
6608442964,,电动压缩机线束总成,0.595,0.3940068,0.14,,,0,1.5,0.14,2.1740068,
6608519100,,电动压缩机线束总成,0.105,0.3940068,0.14,,,0,1.5,0.14,2.1740068,
6608442963,,电动压缩机线束总成,0.03,0.5225085,0.175,,,0,1.5,0.175,2.3725085,
6608516992,,电动压缩机线束总成,0.225,0.5225085,0.175,,,0,1.5,0.175,2.3725085,
6608442966,,组合式充电插座线束总成,0.525,4.094525,0.875,,,0.833333333333333,3.2,0.875,9.87785833333333,
6608442965,,组合式充电插座线束总成,0.105,4.094525,0.875,,,0.833333333333333,3.2,0.875,9.87785833333333,
6608507680,,组合式充电插座线束总成,0.07,4.094525,0.875,,,0.833333333333333,3.2,0.875,9.87785833333333,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
单套成本,,,,4.8388841775,1.036875,0,0,0.851666666666666,4.88,1.036875,12.6443008441667,
,,,,,,,,,,,,
,,,,,,,第六页,,,,,
