,,,,,,,,0.28,0.12,0.245,0.105,0.07,0.03,0.105,0.045,,,,,,,,,,,,,,,
PSS,零件号,零件名称,供货级,PMXU,采购单位,运输模式,特殊采购类型,E281,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CM015_E281_探索版_R,,CM020_E281_远航版_R,,CM010_E281_启航版_R,,CM030_E281_星舰版_R,,,,,,,,,,,,,,,,
,,,,,,,,WD_LHD_CN,,WD_LHD_CN,,WD_LHD_CN,,WD_LHD_CN,,,项目代号,配置编码,配置描述,MIX,2026.0,2027.0,2028.0,2029.0,2030.0,,2031.0,,合计,
,,,,,,,,S,O,S,O,S,O,S,O,,E281,CM010,CM010_E281_启航版_RWD_LHD_CN,0.1,8500.0,13500.0,12500.0,11400.0,9400.0,,4700.0,,60000,
334,6608442966,组合式充电插座线束总成,BUY,U,EA,FCA,寄售,1,,1,,,,,,0.525,E281,CM015,CM015_E281_探索版_RWD_LHD_CN,0.4,34000.0,54000.0,50000.0,45600.0,37600.0,,18800.0,,240000,
334,6608442964,电动压缩机线束总成,BUY,U,EA,FCA,寄售,1,,1,,1,,,,0.595,E281,CM020,CM020_E281_远航版_RWD_LHD_CN,0.35,29750.0,47250.0,43750.0,39900.0,32900.0,,16450.0,,210000,
334,6608544875,前驱直流母线总成,BUY,U,EA,FCA,寄售,,,,,,,1,,0.105,E281,CM030,CM030_E281_星舰版_RWD_LHD_CN,0.15,12750.0,20250.0,18750.0,17100.0,14100.0,,7050.0,,90000,
334,6608442962,直流母线总成,BUY,U,EA,FCA,寄售,,,,,1,,,,0.07,,,,,85000.0,135000.0,125000.0,114000.0,94000.0,0.0,47000.0,0.0,600000,0.0
334,6608491523,直流母线总成,BUY,U,EA,FCA,寄售,1,,1,,,,,,0.525,,,,,,,,,,,,,,
334,6608442963,电动压缩机线束总成,BUY,U,EA,FCA,寄售,,,,,,1,,,0.03,,,,,,,,,,,,,,
334,6608516992,电动压缩机线束总成,BUY,U,EA,FCA,寄售,,1,,1,,,,,0.225,,,,,,,,,,,,,,
334,6608507680,组合式充电插座线束总成,BUY,U,EA,FCA,寄售,,,,,1,,,,0.07,,,,,,,,,,,,,,
334,6608491524,直流母线总成,BUY,U,EA,FCA,寄售,,,,,,,1,,0.105,,,,,,,,,,,,,,
334,6608519100,电动压缩机线束总成,BUY,U,EA,FCA,寄售,,,,,,,1,,0.105,,,,,,,,,,,,,,
334,6608442965,组合式充电插座线束总成,BUY,U,EA,FCA,寄售,,,,,,,1,,0.105,,,,,,,,,,,,,,
